Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.7670039347948285,0.7828760316431256,0.7628047495257501
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7650365373805509,0.7788692823952746,0.7580271200730696
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.7635609893198426,0.7721222404955193,0.7572542682498419
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.7613827993254637,0.7855696985098519,0.6903674559123164
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.758080382237212,0.7389228966336223,0.7486826389376801
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7577290612703766,0.7932435206402424,0.7507201573807349
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7563940415964024,0.7319660086194131,0.718190121548514
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.7556211354693648,0.7654869801555846,0.7473477130611959
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7549184935356942,0.747487221125664,0.7482610833977377
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.7541455874086566,0.7377467837633654,0.7521956017705332
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.7520376616076447,0.7826162909250058,0.7451696761048268
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7498594716132658,0.786297421732453,0.7420080095552589
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7487352445193929,0.7755099597490125,0.7404623059088035
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.7478920741989882,0.7468284840110256,0.673505234314621
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.7466975829117481,0.7383836819618494,0.6410454577390571
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.7462057335581788,0.7947615559351396,0.7202276399915689
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.7449409780775716,0.7285438765283431,0.7466451204946252
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.7447301854974705,0.7622265643362037,0.7447481205648844
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7445193929173693,0.7643964982972463,0.7405325651654605
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7428330522765598,0.797257629743216,0.7352631209161807
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.739460370994941,0.8153988504026622,0.732241972879927
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.738265879707701,0.7917479459386355,0.7299234174102438
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.7338392355255762,0.7831120283054813,0.7310475655167569
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.7332068577852726,0.8208183308602615,0.725848380524134
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.7320826306913997,0.7532265644966364,0.7231082695145086
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.7311691961776279,0.7346480842156737,0.7283777137637883
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.7294125913434514,0.7381196496660831,0.6940209372584838
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.727866779089376,0.735026705645422,0.7208599733014824
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.727866779089376,0.7884000140218276,0.6882596782126045
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.7256885890949972,0.7464956460942072,0.716012084592145
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7247751545812254,0.7692719510987962,0.7216328251247102
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.7205593029792018,0.8096247733284947,0.7125693810159488
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7188729623383924,0.6995135195926161,0.7183306400618281
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7186621697582912,0.7244519575128999,0.715941825335488
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7168353007307476,0.7373353337700315,0.7091266774397527
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.7167650365373806,0.7177833472027497,0.6858006042296072
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.7146571107363687,0.7170969755367239,0.7063865664301272
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7145165823496347,0.7641058943174539,0.7120775662193494
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7083333333333334,0.74173079166051,0.7085646033864962
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.704468802698145,0.7235578654671426,0.7011171221808473
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.698566610455312,0.728462396715363,0.6917726410454578
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.6969505340078695,0.7810978144398834,0.6955666409049392
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001}",0.6968802698145026,0.7276683946884548,0.6901566781423453
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.693999437886453,0.694834717306962,0.6869247523361203
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.6934373243395165,0.7371728554424986,0.690859270708916
